id,state,female,lgbt,race,age,education,employed,hours_worked,watch_tucker,watch_maddow,therm_biden,therm_trump,therm_harris,therm_pence,therm_obama,therm_dem_party,therm_rep_party,therm_feminists,therm_liberals,therm_labor_unions,therm_big_business,therm_conservatives,therm_supreme_court,therm_congress,therm_police,therm_scientists,contributed_to_party,voted,voted_for_biden,voted_for_trump,vote_type
15,NA,1,0,Black,41,Some college,0,30,0,0,60,40,60,40,85,60,40,60,50,40,70,40,60,60,60,70,0,0,NA,NA,Did not vote
16,NA,0,0,Hispanic,66,Some college,1,40,0,0,0,100,0,100,0,0,100,30,0,50,50,85,60,40,85,70,0,0,NA,NA,Did not vote
17,Massachusetts,0,0,White,54,Bachelor's degree,1,40,0,0,60,0,70,40,85,40,30,50,60,40,40,60,40,40,70,80,0,1,1,0,Voted for Biden
18,New Hampshire,0,0,White,55,Bachelor's degree,1,40,0,1,85,0,85,15,100,85,16,70,85,60,40,30,70,60,85,85,0,1,NA,NA,Voted for third party
19,Nevada,1,0,White,62,Bachelor's degree,0,0,0,0,85,15,70,30,100,85,0,60,60,40,50,50,70,40,70,85,0,1,1,0,Voted for Biden
20,Wisconsin,1,0,White,80,High school,0,0,0,0,70,15,60,40,100,85,30,85,70,70,60,70,90,50,85,100,0,1,1,0,Voted for Biden
21,Pennsylvania,0,0,Hispanic,31,Graduate degree,1,50,1,0,0,95,0,95,10,0,100,20,0,30,85,100,80,60,100,80,0,0,NA,NA,Did not vote
22,California,1,0,Hispanic,80,Less than high school,0,0,0,0,75,0,75,0,75,70,15,70,70,75,50,50,40,70,60,NA,0,1,1,0,Voted for Biden
23,New York,0,1,White,24,Bachelor's degree,1,30,0,1,40,5,45,0,45,25,0,50,35,75,15,10,25,15,15,80,0,1,1,0,Voted for Biden
24,Arizona,0,0,White,55,Graduate degree,1,40,0,0,0,100,0,100,0,30,85,50,50,50,50,50,50,50,50,50,0,1,NA,NA,Voted for third party
25,NA,1,0,Hispanic,59,Less than high school,0,0,0,0,0,15,NA,NA,60,60,15,60,50,50,30,65,70,50,70,70,0,0,NA,NA,Did not vote
26,Georgia,0,0,White,73,Bachelor's degree,0,0,0,0,85,0,70,15,90,80,15,80,80,85,45,45,60,60,65,75,0,1,1,0,Voted for Biden
27,North Carolina,1,0,White,72,Less than high school,0,0,0,0,0,100,0,100,50,20,100,50,40,70,60,85,85,70,85,85,0,1,0,1,Voted for Trump
28,Virginia,0,0,White,50,Bachelor's degree,1,40,0,0,50,60,50,50,60,40,50,50,50,50,50,50,50,15,60,60,0,1,0,1,Voted for Trump
29,New York,0,0,White,66,Graduate degree,0,50,0,1,70,NA,70,15,85,60,0,70,55,50,30,30,40,70,70,90,0,1,1,0,Voted for Biden
30,Arizona,0,0,Hispanic,41,High school,1,50,0,0,70,0,50,50,100,60,30,15,50,50,50,85,50,70,40,70,0,1,1,0,Voted for Biden
31,Hawaii,1,0,Asian,52,High school,0,0,0,0,0,85,0,0,100,0,0,0,0,0,0,0,15,0,50,15,0,0,NA,NA,Did not vote
32,NA,0,0,Native American,45,Some college,1,40,0,0,0,0,0,0,0,0,0,50,50,40,40,50,0,0,15,50,0,0,NA,NA,Did not vote
33,Idaho,1,0,White,46,Graduate degree,1,10,0,1,85,0,70,0,100,70,15,70,85,70,15,15,15,40,70,85,1,1,1,0,Voted for Biden
34,Wisconsin,0,0,White,66,Bachelor's degree,1,40,0,0,0,100,0,100,0,0,70,15,15,60,70,100,70,30,100,50,1,1,0,1,Voted for Trump
35,New York,1,0,White,60,Graduate degree,1,36,0,0,85,0,85,0,100,60,15,85,85,50,35,50,60,40,70,100,0,1,1,0,Voted for Biden
36,Texas,1,0,White,73,Bachelor's degree,0,0,0,0,0,85,0,100,0,0,85,50,50,60,70,50,70,50,70,85,0,1,0,1,Voted for Trump
37,Illinois,1,0,Black,71,Some college,0,0,0,0,60,15,85,60,85,60,40,85,60,85,85,60,85,70,85,85,0,1,1,0,Voted for Biden
38,Ohio,1,1,White,28,Graduate degree,0,40,0,0,40,0,50,20,80,40,10,100,40,70,10,20,60,10,10,100,0,1,1,0,Voted for Biden
39,Arkansas,1,0,White,73,Graduate degree,0,0,0,0,85,0,100,0,100,85,0,100,100,70,15,15,50,60,15,100,1,1,1,0,Voted for Biden
40,Georgia,0,0,White,NA,Bachelor's degree,0,0,0,0,0,100,0,85,0,0,60,15,50,40,60,70,70,15,70,70,0,1,0,1,Voted for Trump
41,Texas,1,0,White,37,Bachelor's degree,1,50,0,0,15,70,50,85,30,30,85,40,40,50,50,70,50,40,85,50,0,1,0,1,Voted for Trump
42,Pennsylvania,1,0,Black,56,Some college,1,50,0,0,80,5,80,7,100,78,NA,60,60,85,55,60,55,55,65,65,0,1,1,0,Voted for Biden
43,New Mexico,0,0,White,48,Graduate degree,1,40,0,0,0,100,0,100,0,0,15,15,2,1,85,85,75,0,100,100,0,1,0,1,Voted for Trump
44,Kansas,1,0,White,53,Bachelor's degree,1,45,1,0,0,98,0,95,0,10,95,0,0,0,86,86,70,70,100,40,0,1,0,1,Voted for Trump
45,California,1,0,White,72,Some college,0,0,0,0,50,85,40,70,50,40,85,50,50,50,0,50,50,50,60,50,0,1,0,1,Voted for Trump
46,Missouri,0,0,White,55,High school,1,40,0,0,0,100,0,100,0,0,100,0,0,50,50,90,20,50,99,90,0,1,0,1,Voted for Trump
47,Pennsylvania,0,0,White,79,Some college,0,0,0,1,85,0,85,0,100,85,0,60,85,85,40,15,70,60,85,85,1,1,1,0,Voted for Biden
48,Minnesota,0,0,White,38,Bachelor's degree,1,43,0,0,75,0,70,10,90,80,0,70,70,50,50,40,60,50,50,90,1,1,1,0,Voted for Biden
49,California,1,0,Asian,42,Bachelor's degree,1,45,0,0,15,80,50,50,5,20,100,50,50,65,50,50,80,70,70,60,0,1,0,1,Voted for Trump
50,Missouri,0,0,White,70,Graduate degree,0,0,0,0,100,0,70,0,100,70,30,70,50,70,70,50,85,60,85,85,0,1,1,0,Voted for Biden
51,Texas,1,0,Native American,50,Some college,0,50,0,0,100,15,85,0,100,100,70,30,70,60,0,60,50,60,15,70,0,1,NA,NA,Voted for third party
52,Virginia,1,NA,Black,50,Graduate degree,1,40,0,0,100,0,75,0,85,80,0,95,80,85,15,15,30,30,40,100,1,1,1,0,Voted for Biden
53,NA,1,0,White,27,Less than high school,0,40,0,0,100,85,NA,50,75,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
54,NA,0,0,White,62,High school,0,0,0,0,0,100,0,0,0,0,70,0,0,70,70,0,60,30,100,0,0,0,NA,NA,Did not vote
55,Pennsylvania,1,0,NA,51,Some college,0,0,0,0,0,85,0,85,0,0,70,20,0,70,85,90,100,30,100,50,0,1,0,0,Voted for third party
56,Arizona,0,0,White,60,Some college,0,40,1,0,30,85,15,85,40,40,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
57,Georgia,1,0,White,65,Graduate degree,1,8,0,0,75,15,70,60,80,70,45,50,75,90,51,51,90,60,90,90,0,1,1,0,Voted for Biden
58,New York,0,0,White,NA,Graduate degree,1,50,0,0,85,0,85,0,70,70,15,85,70,60,50,20,60,50,60,90,0,1,1,0,Voted for Biden
59,Ohio,0,0,White,48,High school,1,40,0,0,60,30,30,40,70,40,70,60,85,60,60,60,60,40,60,85,0,1,1,0,Voted for Biden
60,Texas,0,0,White,55,High school,1,42,1,0,15,85,0,85,30,15,85,50,30,15,30,85,60,60,85,50,0,1,0,1,Voted for Trump
61,NA,0,0,White,54,Bachelor's degree,1,50,0,0,50,30,50,50,50,30,30,60,40,85,30,40,85,30,60,85,0,1,1,0,Voted for Biden
62,Montana,1,1,White,38,Graduate degree,1,50,0,0,40,15,75,20,90,60,30,50,50,50,35,50,50,50,50,75,0,0,NA,NA,Did not vote
63,Tennessee,0,0,White,80,Graduate degree,0,0,0,0,100,0,100,0,100,70,0,85,85,85,40,0,30,15,40,100,1,1,1,0,Voted for Biden
64,Louisiana,1,0,Multiracial,37,Graduate degree,1,50,0,0,85,0,100,0,100,70,15,50,80,75,30,10,30,50,50,90,0,1,1,0,Voted for Biden
65,New Jersey,0,0,White,38,Bachelor's degree,1,45,0,0,40,15,60,15,70,50,30,85,70,70,40,40,70,30,70,100,0,1,1,0,Voted for Biden
66,California,0,1,White,60,Some college,0,0,0,0,100,0,100,0,100,0,85,50,0,15,50,50,85,30,70,100,0,1,1,0,Voted for Biden
67,California,0,0,Multiracial,46,Some college,1,12,0,0,100,0,85,15,100,85,0,70,70,100,40,70,50,40,85,100,0,1,1,0,Voted for Biden
68,California,1,0,White,78,Graduate degree,0,0,0,0,15,0,50,0,60,40,0,100,100,85,0,0,15,30,15,100,1,1,0,1,Voted for Trump
69,Colorado,1,0,White,39,Graduate degree,1,10,0,0,72,0,70,0,90,70,10,80,70,85,30,45,65,40,45,90,1,1,1,0,Voted for Biden
70,Illinois,1,0,Black,33,Graduate degree,1,40,0,0,70,0,85,50,85,70,30,100,40,50,15,40,40,40,40,70,0,1,1,0,Voted for Biden
71,California,1,0,White,74,Graduate degree,0,0,0,1,100,0,85,50,100,100,0,100,100,70,50,0,100,50,50,86,1,1,1,0,Voted for Biden
72,Minnesota,1,0,White,61,Some college,0,0,0,0,85,0,70,0,100,70,15,50,50,70,30,50,40,30,85,85,0,1,1,0,Voted for Biden
73,Minnesota,1,0,White,67,Some college,0,0,0,0,100,0,85,0,100,85,0,85,70,100,70,85,100,40,100,100,0,1,NA,NA,Voted for third party
74,Pennsylvania,1,0,White,60,High school,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,50,50,50,30,50,60,40,85,70,0,1,1,0,Voted for Biden
75,Pennsylvania,0,0,White,NA,Some college,1,40,0,0,15,85,15,70,0,0,75,0,15,40,60,85,85,60,100,85,0,1,0,1,Voted for Trump
76,NA,0,0,Black,21,Some college,1,40,0,0,40,15,20,15,60,25,15,50,50,50,50,50,50,50,50,85,0,0,NA,NA,Did not vote
77,New York,1,1,Black,49,Less than high school,0,7,0,0,100,0,100,0,100,100,0,100,70,85,60,50,50,50,60,70,0,0,NA,NA,Did not vote
78,Pennsylvania,0,0,White,80,Graduate degree,0,0,0,0,85,0,85,50,100,100,30,5,6,7,3,5,9,3,8,9,1,1,1,0,Voted for Biden
79,Florida,0,0,White,70,Some college,0,30,0,0,0,70,0,70,0,0,60,40,40,60,70,70,85,40,70,70,0,1,0,1,Voted for Trump
80,Texas,1,NA,White,70,High school,1,40,0,0,100,0,100,0,100,100,0,70,70,100,60,85,85,70,100,100,0,1,1,0,Voted for Biden
81,Oklahoma,0,0,White,72,Bachelor's degree,0,0,0,0,30,30,15,50,40,15,60,60,15,15,60,60,70,15,70,70,0,1,0,1,Voted for Trump
82,Arizona,1,0,White,78,Some college,0,0,1,0,0,100,0,100,0,0,100,0,0,40,70,100,85,60,100,70,1,1,0,1,Voted for Trump
83,Delaware,1,0,White,43,Bachelor's degree,1,40,0,0,70,0,70,0,100,70,0,60,90,50,70,70,40,70,60,90,0,1,1,0,Voted for Biden
84,District of Columbia,1,0,Black,45,Some college,0,0,0,0,85,30,85,40,100,70,60,50,50,70,60,50,60,50,60,85,0,0,NA,NA,Did not vote
85,Indiana,1,1,White,44,Bachelor's degree,1,40,0,0,70,0,70,0,85,70,15,85,70,70,40,15,70,85,40,85,1,1,1,0,Voted for Biden
86,Nevada,1,0,Hispanic,50,Some college,0,60,0,0,100,0,85,70,100,85,15,60,0,70,0,15,60,70,100,85,0,1,1,0,Voted for Biden
87,Florida,1,0,White,NA,Graduate degree,1,40,0,0,85,0,50,50,100,50,50,80,65,60,40,80,50,60,65,80,0,0,NA,NA,Did not vote
88,West Virginia,1,0,White,33,Bachelor's degree,1,40,0,0,85,0,85,0,85,70,0,50,50,60,15,15,40,30,15,100,0,1,1,0,Voted for Biden
89,Massachusetts,1,0,White,55,High school,1,40,0,0,0,100,0,100,0,0,100,50,30,50,50,100,100,50,100,85,0,0,NA,NA,Did not vote
90,Ohio,1,0,White,28,Bachelor's degree,1,40,0,0,30,60,0,50,15,15,70,15,15,30,50,85,50,50,60,85,0,1,0,1,Voted for Trump
91,Virginia,1,0,White,34,Graduate degree,1,45,1,0,15,85,30,100,0,30,85,0,15,0,100,85,85,60,70,100,0,0,NA,NA,Did not vote
92,New York,1,0,White,24,Bachelor's degree,1,40,0,0,0,85,50,50,40,0,100,50,15,60,50,85,50,50,100,85,0,1,0,1,Voted for Trump
93,Oklahoma,1,0,White,26,Some college,1,25,0,0,0,100,0,100,0,0,100,0,0,85,50,100,100,85,100,50,0,1,0,1,Voted for Trump
94,Ohio,0,0,White,75,High school,1,25,0,0,70,0,70,15,85,70,30,60,70,85,40,30,50,60,70,85,0,1,1,0,Voted for Biden
95,Hawaii,0,0,Native American,61,Bachelor's degree,0,0,1,0,30,60,0,70,60,0,60,50,15,30,60,70,70,0,70,85,0,1,0,1,Voted for Trump
96,Texas,1,0,White,80,Graduate degree,0,0,0,0,40,100,15,100,NA,15,70,40,30,15,60,100,85,15,100,70,1,1,0,1,Voted for Trump
97,Massachusetts,0,0,White,58,Some college,1,46,0,0,70,0,85,0,85,60,15,60,40,70,50,40,30,15,60,100,0,1,1,0,Voted for Biden
98,Georgia,1,0,Hispanic,50,Bachelor's degree,1,50,0,0,100,0,100,15,100,50,0,100,70,15,15,0,40,15,60,100,0,1,1,0,Voted for Biden
99,South Carolina,1,0,White,76,Bachelor's degree,0,0,0,0,100,0,100,40,100,85,0,90,95,85,50,30,50,50,85,100,0,1,1,0,Voted for Biden
100,Washington,1,0,White,80,Some college,0,0,0,0,60,30,70,50,60,70,60,60,60,50,60,60,70,40,70,70,0,1,1,0,Voted for Biden
101,Pennsylvania,1,0,Multiracial,48,High school,1,40,0,0,100,0,85,50,100,100,0,0,0,100,60,70,70,50,0,100,0,0,NA,NA,Did not vote
102,Pennsylvania,1,0,White,61,High school,1,60,0,0,60,15,50,50,50,60,50,100,100,40,60,100,70,70,100,100,0,0,NA,NA,Did not vote
103,California,1,0,White,45,Graduate degree,1,40,0,0,70,0,70,15,100,85,50,95,95,75,20,20,85,85,30,85,0,1,1,0,Voted for Biden
104,Idaho,1,0,White,37,Some college,1,15,0,0,NA,85,0,50,0,15,85,50,30,58,50,85,50,40,100,60,0,1,0,1,Voted for Trump
105,Indiana,0,0,White,36,Bachelor's degree,1,60,0,0,0,85,0,100,0,0,60,0,0,10,80,51,100,25,100,51,0,1,0,1,Voted for Trump
106,Pennsylvania,1,0,White,80,Less than high school,0,0,0,0,100,0,85,0,100,85,15,85,85,60,40,40,60,50,85,85,0,1,1,0,Voted for Biden
107,Maryland,1,0,White,66,High school,1,36,0,0,0,100,0,100,30,0,85,40,40,30,100,100,85,40,100,70,0,1,0,1,Voted for Trump
108,Massachusetts,1,0,White,80,High school,0,0,0,0,NA,85,15,0,30,30,85,50,NA,70,50,40,60,70,85,70,1,1,0,1,Voted for Trump
109,Kansas,0,0,Native American,66,Some college,0,0,0,0,40,65,15,70,30,30,50,40,40,50,40,55,50,40,70,50,0,1,0,1,Voted for Trump
110,Pennsylvania,1,0,White,60,Some college,1,40,0,0,85,0,75,20,90,70,10,60,50,50,20,10,30,50,50,70,0,1,1,0,Voted for Biden
111,New York,0,0,White,34,NA,1,55,1,0,0,100,0,100,0,0,70,40,0,85,70,100,70,30,85,50,0,1,NA,NA,Voted for third party
112,California,0,0,Asian,80,Graduate degree,0,0,0,0,15,100,0,85,15,0,70,50,30,50,30,85,70,60,70,85,0,1,0,1,Voted for Trump
113,Illinois,0,0,White,71,High school,0,0,0,0,40,70,15,85,50,30,60,60,30,100,60,85,85,30,100,60,0,1,NA,NA,Voted for third party
114,Ohio,0,0,White,72,Some college,1,12,0,0,15,100,0,100,0,0,70,50,0,30,15,70,60,15,85,40,1,1,0,1,Voted for Trump
115,Illinois,0,0,White,57,Bachelor's degree,1,46,0,0,15,70,0,50,15,30,70,15,70,30,15,50,50,50,50,85,0,1,NA,NA,Voted for third party
116,Massachusetts,1,0,Hispanic,36,Graduate degree,1,40,0,0,50,85,70,60,85,60,100,60,85,70,70,70,60,70,100,100,0,1,0,1,Voted for Trump
117,North Carolina,1,0,Black,61,Some college,1,20,0,0,100,0,85,30,100,85,15,85,85,100,15,60,40,60,60,85,0,1,1,0,Voted for Biden
118,New York,0,0,Native American,58,Graduate degree,1,50,0,0,0,100,0,100,0,0,85,0,0,0,85,100,85,30,85,50,0,1,0,1,Voted for Trump
119,Pennsylvania,0,1,Black,30,Some college,1,40,0,0,60,0,60,0,85,50,50,50,70,100,60,60,60,60,40,100,0,1,1,0,Voted for Biden
120,Arizona,0,0,White,80,Graduate degree,0,0,0,0,0,85,0,100,15,0,70,60,30,40,60,85,60,60,100,85,1,1,NA,NA,Voted for third party
121,Florida,0,0,NA,NA,Graduate degree,1,35,NA,NA,15,100,0,100,0,15,70,60,40,40,60,100,70,40,85,70,0,1,0,1,Voted for Trump
122,Colorado,0,0,Hispanic,72,Some college,0,0,0,0,NA,NA,70,40,NA,NA,50,50,60,60,50,40,60,30,40,50,0,1,NA,NA,Voted for third party
123,Alabama,0,0,Hispanic,38,Less than high school,1,50,0,0,100,50,80,30,72,95,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
124,Michigan,0,0,White,60,Some college,0,0,0,0,15,80,5,75,20,40,60,50,50,40,50,50,50,50,70,60,0,0,NA,NA,Did not vote
125,NA,1,0,Black,52,High school,0,0,0,0,50,70,50,50,60,60,60,40,15,40,100,60,50,50,70,30,0,0,NA,NA,Did not vote
126,Tennessee,1,0,White,40,High school,1,36,0,0,60,50,70,50,70,50,30,77,77,80,50,77,77,66,90,99,0,0,NA,NA,Did not vote
127,Oregon,1,0,White,23,Bachelor's degree,0,40,0,0,65,0,70,0,90,85,15,100,100,100,85,0,25,70,25,100,0,1,1,0,Voted for Biden
128,Wisconsin,0,0,White,54,High school,1,55,0,0,0,100,0,70,0,0,85,50,30,50,50,85,50,15,100,50,0,1,0,1,Voted for Trump
129,Arizona,1,0,White,70,Graduate degree,0,0,0,0,100,0,100,15,100,85,0,70,85,85,30,15,40,60,60,100,0,1,1,0,Voted for Biden
130,California,1,1,Hispanic,23,Some college,1,32,0,0,60,0,50,50,100,50,50,50,50,50,50,100,0,0,50,100,0,0,NA,NA,Did not vote
131,Pennsylvania,0,0,Black,66,Graduate degree,1,35,0,0,85,0,70,15,85,70,15,70,60,70,25,50,50,30,50,85,1,1,1,0,Voted for Biden
132,Missouri,0,0,White,60,Some college,1,30,0,0,20,95,0,100,50,10,75,50,30,85,NA,85,100,20,95,90,0,1,0,1,Voted for Trump
133,Georgia,1,0,White,50,Bachelor's degree,1,22,1,0,40,100,0,100,0,0,85,0,15,30,70,70,40,15,100,15,0,1,0,1,Voted for Trump
134,Maryland,0,0,White,62,Bachelor's degree,1,60,0,0,0,90,0,90,0,15,90,0,0,NA,85,NA,85,45,85,70,1,1,0,1,Voted for Trump
135,Oregon,1,1,White,37,Graduate degree,1,50,0,0,60,0,85,0,85,70,0,85,85,70,15,30,30,15,70,85,1,1,1,0,Voted for Biden
136,New Hampshire,1,0,White,73,High school,1,38,0,0,0,100,0,100,0,0,60,70,85,85,60,40,85,15,85,100,1,1,1,0,Voted for Biden
137,Ohio,0,0,White,52,Bachelor's degree,1,45,0,0,50,0,50,30,60,50,30,5,40,50,50,85,95,15,90,100,0,1,1,0,Voted for Biden
138,Illinois,1,0,White,76,Graduate degree,0,0,0,0,0,100,0,100,0,0,100,15,0,70,70,100,70,0,100,85,1,1,0,1,Voted for Trump
139,Arizona,0,0,White,73,Some college,0,0,0,0,40,0,50,30,70,30,15,50,50,40,30,50,50,60,85,100,0,1,1,0,Voted for Biden
140,New York,1,1,White,42,Bachelor's degree,1,55,0,0,50,30,50,50,70,50,50,50,50,50,40,50,50,50,50,50,0,1,0,0,Voted for third party
141,Louisiana,0,0,White,67,High school,1,40,0,0,0,100,0,85,0,30,50,50,50,50,50,50,50,50,60,50,0,1,0,1,Voted for Trump
142,Minnesota,0,0,White,64,Some college,1,40,0,0,85,50,70,50,85,60,40,50,60,100,50,40,45,50,75,100,0,1,1,0,Voted for Biden
143,Illinois,1,0,White,55,Some college,1,50,0,0,0,70,0,85,85,30,70,100,30,100,60,30,70,0,60,100,0,1,0,1,Voted for Trump
144,North Carolina,1,1,Black,29,Graduate degree,1,40,0,0,60,0,85,0,70,60,0,60,60,85,40,30,40,40,40,100,0,1,1,0,Voted for Biden
145,New Jersey,1,0,Black,34,Some college,1,40,0,0,100,0,70,0,100,100,0,60,50,70,70,50,86,50,60,70,0,1,1,0,Voted for Biden
146,New Hampshire,1,0,White,45,Graduate degree,1,45,0,0,70,0,85,10,85,65,30,50,65,50,65,50,50,50,50,85,0,0,NA,NA,Did not vote
147,Massachusetts,0,0,Native American,40,Graduate degree,1,35,0,0,85,0,90,0,100,70,0,100,85,100,50,30,30,30,30,100,1,1,1,0,Voted for Biden
148,NA,0,0,White,28,Some college,0,40,0,1,15,70,50,85,60,15,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
149,NA,0,0,Hispanic,49,Some college,1,35,0,0,75,10,70,15,85,70,15,60,60,50,60,50,60,40,70,70,0,1,1,0,Voted for Biden
150,Michigan,0,0,White,37,Graduate degree,1,40,0,0,100,0,85,0,100,85,30,70,85,85,60,15,60,50,70,85,1,1,1,0,Voted for Biden
151,Arkansas,1,0,White,80,Some college,0,0,0,0,40,100,15,85,15,15,85,70,15,30,85,85,70,30,100,85,1,1,0,1,Voted for Trump
152,Virginia,1,0,Asian,55,High school,1,60,0,0,50,0,50,30,85,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
153,North Carolina,1,0,White,80,Less than high school,0,0,0,0,40,NA,50,85,40,30,100,40,40,50,50,70,70,50,70,50,0,1,0,1,Voted for Trump
154,North Carolina,1,0,Multiracial,63,Bachelor's degree,0,0,0,0,85,0,85,50,100,70,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
155,South Carolina,1,0,White,66,Some college,0,0,0,0,30,70,30,100,40,30,60,50,20,5,65,90,80,10,85,85,0,1,0,1,Voted for Trump
156,Florida,0,0,White,55,Bachelor's degree,0,0,0,0,50,60,60,50,50,60,70,70,50,60,50,60,60,NA,70,70,0,0,NA,NA,Did not vote
157,Illinois,0,0,White,65,Some college,0,50,0,0,0,90,50,100,40,0,60,50,30,15,50,70,50,40,100,75,1,1,0,1,Voted for Trump
158,Tennessee,1,0,White,69,Graduate degree,0,0,0,0,85,0,85,0,100,85,15,100,100,40,70,30,60,40,85,100,0,1,1,0,Voted for Biden
159,Louisiana,1,0,White,70,High school,0,1,0,0,50,85,0,50,50,15,85,30,30,50,30,70,60,70,60,60,0,1,0,1,Voted for Trump
160,NA,0,0,White,64,High school,0,0,0,0,0,100,0,85,0,0,85,70,70,50,70,60,70,60,85,85,0,0,NA,NA,Did not vote
161,Kentucky,0,0,White,62,High school,1,50,0,0,0,100,0,100,15,0,100,60,0,50,60,70,60,0,100,100,0,1,0,1,Voted for Trump
162,New York,0,0,White,50,Graduate degree,1,65,0,0,0,85,0,60,15,30,70,50,30,40,75,85,85,40,100,85,0,1,0,1,Voted for Trump
163,Kansas,1,0,Black,46,High school,0,0,0,0,NA,30,0,50,100,85,30,100,100,100,100,100,70,70,85,100,0,1,NA,NA,Voted for third party
164,North Carolina,1,0,Multiracial,67,NA,0,0,0,0,100,0,100,0,100,85,0,100,100,85,70,40,70,85,40,100,1,1,1,0,Voted for Biden
165,North Carolina,1,0,White,43,Some college,1,25,0,1,90,0,85,15,90,75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
166,Arizona,0,0,White,30,Bachelor's degree,1,60,1,0,60,0,80,0,95,60,0,70,60,70,30,30,40,15,30,100,0,1,1,0,Voted for Biden
167,Missouri,0,0,White,80,High school,0,0,0,0,0,90,0,90,0,20,80,40,0,60,NA,90,70,50,85,40,0,1,0,1,Voted for Trump
168,Kentucky,1,0,White,58,High school,0,0,0,1,100,20,100,15,100,100,15,85,85,85,15,30,40,70,85,100,0,1,NA,NA,Voted for third party
169,Virginia,0,0,White,29,Some college,1,60,0,0,0,70,0,60,43,0,48,0,15,0,50,70,30,30,70,70,0,1,0,0,Voted for third party
170,Missouri,0,0,White,71,Some college,0,0,0,0,85,0,70,0,85,85,15,50,50,50,50,NA,50,15,85,85,0,1,1,0,Voted for Biden
171,Maine,0,0,White,69,Graduate degree,0,0,0,0,30,60,10,85,20,20,85,35,25,35,70,75,65,50,75,85,1,1,0,1,Voted for Trump
172,California,0,0,White,80,Graduate degree,0,0,0,0,85,0,85,0,100,85,0,70,100,70,30,0,30,30,70,100,0,1,NA,NA,Voted for third party
173,Massachusetts,0,0,White,28,Graduate degree,1,45,0,0,70,0,85,0,90,60,15,90,85,70,70,10,50,25,50,95,0,1,1,0,Voted for Biden
174,Texas,1,0,Hispanic,22,Bachelor's degree,0,16,0,0,85,0,NA,50,100,70,30,60,50,50,40,50,50,60,100,85,0,0,NA,NA,Did not vote
